title,reason,score,comments
Technostress,Too short,1,1
Technostress,Too short,1,1
Looking for entrepreneurs to interview for my master’s thesis (effect of technostress on entrepreneurs),Contains 'study' or 'interview',0,8
Looking for entrepreneurs to interview for my master’s thesis (effect of technostress on entrepreneurs),Contains 'study' or 'interview',3,6
Looking for entrepreneurs to interview for my master’s thesis (effect of technostress on entrepreneurs),Contains 'study' or 'interview',0,6
[Academic Repost] Technostress and Life Satisfaction: The Mediating Role of Work-Family Conflict and Moderating Role of Resilience. (Everyone +18),Contains 'study' or 'interview',3,1
Looking for entrepreneurs to interview for my master’s thesis (effect of technostress on entrepreneurs),Contains 'study' or 'interview',7,5
"[Repost] [Academic] Anonymous survey for a Dissertation on The usability of Digital Management Systems used by workers, exploring technostress - (5 mins max, 18+, Global, Any industry)",Low score,1,3
Looking for entrepreneurs to interview for my master’s thesis (effect of technostress on entrepreneurs),Contains 'study' or 'interview',4,5
Looking for entrepreneurs to interview for my master’s thesis (effect of technostress on entrepreneurs),Contains 'study' or 'interview',5,5
"[Academic Survey] Technostress and Life Satisfaction: The Mediating
Role of Work-Family Conflict and Moderating Role
of Resilience (Everyone +18 working in a hybrid work environment)",Contains 'study' or 'interview',1,0
"The Role of Digital Creativity in the Relationship between STARA Awareness, Technostress and Job Insecurity. (Everyone +18)",Contains 'study' or 'interview',1,0
Coping with technostress in the software industry: Coping strategies and factors underlying their selection,Too short,16,1
"Looking for entrepreneurs to interview regarding technostress. (Tech. Induced stress, for master thesis)",Contains 'study' or 'interview',0,3
"[Repost] [Academic] Anonymous survey for a dissertation on the Usability of Digital Management Systems used by workers-An exploration of technostress - (5 mins max, 18+, Global, Any Industry)",Low score,1,1
"[Repost] [Academic] Anonymous survey for a Dissertation on the Usability of Digital Management Systems used by workers, exploring technostress - (5 mins max, 18+, Global, Any Industry)",Low score,1,1
"[Repost] [Academic] Anonymous survey on the Usability of Digital Management Systems used by workers, exploring technostress - (5 mins max, 18+, Global, Any Industry)",Low score,1,1
Looking for entrepreneurs to interview for my master’s Thesis (effect of technostress on entrepreneurs),Contains 'study' or 'interview',4,3
PsyCap and Technostress,Too short,1,1
Looking for entrepreneurs to interview for my master’s thesis (effect of technostress on entrepreneurs),Contains 'study' or 'interview',2,2
Still Looking for entrepreneurs to interview for my master’s thesis (effect of technostress on entrepreneurs),Contains 'study' or 'interview',1,1
Looking for entrepreneurs to interview for my master’s thesis (effect of technostress on entrepreneurs),Contains 'study' or 'interview',1,2
Mindfulness and technostress,Too short,1,1
Finding entrepreneurs for a survey (thesis- impact of technostress,Low score,0,1
Technostress & Well-being,Too short,1,1
Generationen und Technostress,Too short,1,1
KI und Technostress,Too short,1,1
Technostress und Commitment,Too short,1,1
Technostress on burnout in Gen Z,Too short,1,1
Technostress und Commitment,Too short,1,1
Generationen und Technostress,Too short,1,1
Technostress Examination Using JD-R,Too short,1,1
Technostress Examination Using JD-R,Too short,1,1
Technostress/Mitarbeiter-Motivation,Too short,1,1
Impact of Technostress,Too short,1,1
UK Workplace Technostress Study,Contains 'study' or 'interview',1,1
Technostress and trust,Too short,1,1
Enquête sur le technostress,Low score,1,0
Technostress,Too short,1,1
Technostress on IT Professionals,Too short,1,1
Technostress & Social Media,Too short,1,1
Technostressed,Too short,318,4
[ARTICLE] Impact of regulatory focus on security technostress and organizational outcomes: The moderating effect of security technostress inhibitors,Low score,1,4
